api,definition_file,definition_kind,responsibility,bj_added_owner,caller_file_count,production_callers,test_callers,helper_callers,script_callers,caller_files
tests.helpers.speaker_relocation_shadow_harness.build_finalize_stack_fixture,tests/helpers/speaker_relocation_shadow_harness.py,FunctionDef,speaker finalization,False,4,0,4,0,0,tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_speaker_contract_risk.py
tests.replay_governance_registry.replay_governance_registry,tests/replay_governance_registry.py,FunctionDef,ownership enforcement,False,4,0,4,0,0,tests/replay_governance_traceability_contract.py;tests/test_replay_governance_authority.py;tests/test_replay_governance_registry.py;tests/test_replay_governance_traceability_contract.py
game.dialogue_social_plan.build_dialogue_social_plan,game/dialogue_social_plan.py,FunctionDef,strict-social composition,False,3,1,2,0,0,game/narration_plan_bundle.py;tests/test_dialogue_social_plan_block_x_contract_pins.py;tests/test_dialogue_social_plan_block_y.py
game.dialogue_social_plan.is_bare_speech_attribution_shell_line,game/dialogue_social_plan.py,FunctionDef,strict-social composition,False,3,1,2,0,0,game/final_emission_strict_social_stack.py;tests/test_dialogue_social_plan.py;tests/test_speaker_contract_enforcement.py
game.dialogue_social_plan.strip_dialogue_from_text,game/dialogue_social_plan.py,FunctionDef,strict-social composition,False,3,1,2,0,0,game/final_emission_strict_social_stack.py;tests/test_dialogue_social_plan.py;tests/test_speaker_contract_enforcement.py
game.fallback_provenance_debug.realign_fallback_provenance_selector_to_current_text,game/fallback_provenance_debug.py,FunctionDef,fallback selection/projection,False,3,2,1,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_upstream_fast_fallback_block_l.py
game.final_emission_answer_shape_primacy.apply_answer_shape_primacy_layer,game/final_emission_answer_shape_primacy.py,FunctionDef,final-emission policy/metadata,True,3,2,1,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_answer_shape_primacy.py
game.final_emission_anti_railroading.apply_anti_railroading_layer,game/final_emission_anti_railroading.py,FunctionDef,final-emission policy/metadata,True,3,2,1,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_anti_railroading.py
game.final_emission_context_separation.apply_context_separation_layer,game/final_emission_context_separation.py,FunctionDef,final-emission policy/metadata,True,3,2,1,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_context_separation.py
game.final_emission_fast_fallback_composition.apply_fast_fallback_neutral_composition_layer,game/final_emission_fast_fallback_composition.py,FunctionDef,fallback selection/projection,True,3,2,1,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_fast_fallback_composition.py
game.final_emission_fem_assembly.merge_pre_terminal_layer_debug,game/final_emission_fem_assembly.py,FunctionDef,final-emission policy/metadata,True,3,2,1,0,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_fem_assembly_pre_terminal_debug.py
game.final_emission_finalize.final_emission_fast_path_eligible,game/final_emission_finalize.py,FunctionDef,finalization/exit,True,3,2,1,0,0,game/final_emission_generic_exit.py;game/final_emission_strict_social_stack.py;tests/test_manual_play_latency.py
